0.03,10cmapr,10cmdec,10cmfeb,10cmjan,10cmjul,10cmjun,10cmmar,10cmmay,10cmnov,10cmsep,1cmapr,1cmdec,1cmfeb,1cmjan,1cmjul,1cmjun,1cmmar,1cmmay,1cmnov,1cmsep,2cmapr,2cmdec,2cmfeb,2cmjan,2cmjul,2cmjun,2cmmar,2cmmay,2cmnov,2cmsep,3cmapr,3cmdec,3cmfeb,3cmjan,3cmjul,3cmjun,3cmmar,3cmmay,3cmnov,3cmsep,4cmapr,4cmdec,4cmfeb,4cmjan,4cmjul,4cmjun,4cmmar,4cmmay,4cmnov,4cmsep,5cmapr,5cmdec,5cmfeb,5cmjan,5cmjul,5cmjun,5cmmar,5cmmay,5cmnov,5cmsep,6cmapr,6cmdec,6cmfeb,6cmjan,6cmjul,6cmjun,6cmmar,6cmmay,6cmnov,6cmsep,7cmapr,7cmdec,7cmfeb,7cmjan,7cmjul,7cmjun,7cmmar,7cmmay,7cmnov,7cmsep,8cmapr,8cmdec,8cmfeb,8cmjan,8cmjul,8cmjun,8cmmar,8cmmay,8cmnov,9cmapr,9cmdec,9cmfeb,9cmjan,9cmjul,9cmjun,9cmmar,9cmmay,9cmnov,9cmsep,blank12mar18,std1,std2,std3,std4,std5,OTU,Seqs,Taxonomy
Otu0659,10,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0659,26,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,5,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,Otu0660,26,Eukaryota(100);Alveolata(100);Apicomplexa(100);Gregarinomorphea(100);Eugregarinorida(100);Lecudinidae(100);Lecudina(100);Lecudina_tuzetae(100);
Otu0661,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,Otu0661,26,Eukaryota(100);Amoebozoa(100);Breviatea(100);Breviatea_X(100);Breviatea_XX(100);Subulatomonas-lineage(100);Subulatomonas-lineage_X(100);Subulatomonas-lineage_X_sp.(100);
Otu0662,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,Otu0662,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0663,25,Eukaryota(100);Alveolata(100);Ciliophora(100);Litostomatea(100);Haptoria_4(100);Didiniidae(100);Didiniidae_X(100);Didiniidae_X_sp.(100);
Otu0664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0664,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Endomyxa(100);Novel-clade-9(100);Novel-clade-9_X(100);Novel-clade-9_XX(100);Novel-clade-9_XX_sp.(100);
Otu0665,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Otu0665,25,Eukaryota(100);Opisthokonta(100);Metazoa(100);Platyhelminthes(100);Turbellaria(100);Rhabdocoela(100);Rhabdocoela_unclassified(100);Rhabdocoela_unclassified(100);
Otu0666,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0666,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Endomyxa(100);Vampyrellida(100);Vampyrellida_X(100);Vampyrellida_clade_B(100);Vampyrellida_sp.(100);
Otu0667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,0,0,Otu0667,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Thecofilosea(100);Ebriida(100);TAGIRI1-lineage(100);TAGIRI1-lineage_X(100);TAGIRI1-lineage_X_sp.(100);
Otu0668,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Otu0668,25,Eukaryota(100);Archaeplastida(100);Streptophyta(100);Embryophyceae(100);Embryophyceae_X(100);Embryophyceae_XX(100);Embryophyceae_XX_unclassified(100);Embryophyceae_XX_unclassified(100);
Otu0669,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Otu0669,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Granofilosea(100);Cryptofilida(100);Novel-Gran-1(100);Novel-Gran-1_X(100);Novel-Gran-1_X_sp.(100);
Otu0670,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0670,25,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Surirella(100);Surirella_sp.(100);
Otu0671,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0671,25,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Raphid-pennate_unclassified(100);Raphid-pennate_unclassified(100);
Otu0672,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Otu0672,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Endomyxa(100);Vampyrellida(100);Vampyrellida_X(100);Vampyrellida_X_unclassified(100);Vampyrellida_X_unclassified(100);
Otu0673,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,Otu0673,25,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Polar-centric-Mediophyceae(100);Chaetoceros(100);Chaetoceros_decipiens(100);
Otu0674,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0674,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Imbricatea(100);Filosa-Imbricatea_X(100);Novel-clade-3(100);Novel-clade-3_X(100);Novel-clade-3_X_sp.(100);
Otu0675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0675,25,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Otu0676,25,Eukaryota(100);Amoebozoa(100);Lobosa(100);Tubulinea(100);Leptomyxida(100);Flabellulidae(100);Paraflabellula(100);Paraflabellula_sp.(100);
Otu0677,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Otu0677,24,Eukaryota(100);Rhizaria(96);Cercozoa(96);Cercozoa_unclassified(88);Cercozoa_unclassified(88);Cercozoa_unclassified(88);Cercozoa_unclassified(88);Cercozoa_unclassified(88);
Otu0678,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Otu0678,24,Eukaryota(100);Opisthokonta(100);Metazoa(100);Nematoda(100);Chromadorea(100);Chromadorea_X(96);Atrochromadora(96);Atrochromadora_microlaima(96);
Otu0679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,0,1,0,1,4,0,0,1,1,0,0,0,0,0,0,Otu0679,24,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Dinophyceae_unclassified(75);Dinophyceae_unclassified(75);Dinophyceae_unclassified(75);Dinophyceae_unclassified(75);
Otu0680,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Otu0680,24,Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
Otu0681,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0681,24,Eukaryota(100);Alveolata(100);Apicomplexa(100);Coccidiomorphea(100);Coccidiomorphea_unclassified(100);Coccidiomorphea_unclassified(100);Coccidiomorphea_unclassified(100);Coccidiomorphea_unclassified(100);
Otu0682,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,Otu0682,24,Eukaryota(100);Stramenopiles(100);Ochrophyta(100);Bacillariophyta(100);Bacillariophyta_X(100);Raphid-pennate(100);Raphid-pennate_unclassified(100);Raphid-pennate_unclassified(100);
Otu0683,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,Otu0683,24,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Imbricatea(100);Filosa-Imbricatea_X(100);Novel-clade-2(100);Novel-clade-2_X(100);Novel-clade-2_X_sp.(100);
Otu0684,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Otu0684,24,Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
Otu0685,0,0,0,0,0,0,0,0,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Otu0685,24,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0686,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,Otu0686,24,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Imbricatea(100);Euglyphida(100);Euglyphida_unclassified(84);Euglyphida_unclassified(84);Euglyphida_unclassified(84);
Otu0687,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,Otu0687,24,Eukaryota(100);Rhizaria(100);Cercozoa(100);Endomyxa-Phytomyxea(100);Phagomyxida(100);Phagomyxidae(100);Phagomyxa(100);Phagomyxa_sp.(100);
Otu0688,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,Otu0688,24,Eukaryota(100);Alveolata(100);Ciliophora(100);CONThreeP(100);CONThreeP_X(100);CONThreeP_XX(100);Askenasia(100);Askenasia_sp.(100);
Otu0689,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Otu0689,24,Eukaryota(100);Opisthokonta(100);Metazoa(100);Gastrotricha(100);Gastrotricha_X(100);Gastrotricha_XX(100);Gastrotricha_XX_unclassified(100);Gastrotricha_XX_unclassified(100);
Otu0690,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0690,24,Eukaryota(100);Alveolata(100);Ciliophora(100);Spirotrichea(100);Choreotrichida(100);Strombidinopsidae(100);Strombidinopsis(100);Strombidinopsis_sp.(100);
Otu0691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,Otu0691,24,Eukaryota(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);Eukaryota_unclassified(100);
Otu0692,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,Otu0692,23,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0693,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,Otu0693,23,Eukaryota(100);Alveolata(100);Dinoflagellata(100);Dinophyceae(100);Gonyaulacales(100);Goniodomataceae(100);Alexandrium(100);Alexandrium_unclassified(100);
Otu0694,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,Otu0694,23,Eukaryota(100);Apusozoa(100);Apusomonadidae(100);Apusomonadidae_Group-1(100);Apusomonadidae_Group-1_X(100);Apusomonadidae_Group-1_XX(100);Amastigomonas(100);Amastigomonas_mutabilis(100);
Otu0695,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0695,23,Eukaryota(100);Rhizaria(100);Cercozoa(100);Endomyxa(100);Vampyrellida(100);Vampyrellida_X(100);Vampyrellida_X_unclassified(100);Vampyrellida_X_unclassified(100);
Otu0696,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0696,23,Eukaryota(100);Archaeplastida(100);Chlorophyta(100);Trebouxiophyceae(100);Chlorellales(100);Chlorellales_X(100);Picochlorum(79);Picochlorum_sp.(70);
Otu0697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0697,23,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Imbricatea(100);Euglyphida(100);Cyphoderiidae(100);Cyphoderia(100);Cyphoderia_sp.(100);
Otu0698,0,0,1,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Otu0698,23,Eukaryota(100);Rhizaria(100);Cercozoa(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);Cercozoa_unclassified(100);
Otu0699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Otu0699,23,Eukaryota(100);Rhizaria(100);Cercozoa(100);Filosa-Imbricatea(96);Filosa-Imbricatea_unclassified(96);Filosa-Imbricatea_unclassified(96);Filosa-Imbricatea_unclassified(96);Filosa-Imbricatea_unclassified(96);
